exchange_id,exchange_name,met_id,formula,flux,lb,ub,direction
r_2137,"ergosta-5,7,22,24(28)-tetraen-3beta-ol exchange",s_2768,C28H42O,0.0,-1000.0,0.0,zero
r_2187,butyrate exchange,s_2822,C4H7O2,0.0,0.0,1000.0,zero
r_2188,hexanoate exchange,s_2824,C6H11O2,0.0,0.0,1000.0,zero
r_4043,raffinose exchange,s_3715,C18H32O16,0.0,0.0,1000.0,zero
r_4044,melibiose exchange,s_3716,C12H22O11,0.0,0.0,1000.0,zero
r_4442,cysteamine exchange,s_4074,C2H8NS,0.0,0.0,1000.0,zero
r_4494,methanol exchange,s_4124,CH4O,0.0,0.0,1000.0,zero
r_4496,Ala-Gly exchange,s_4170,C5H10N2O3,0.0,0.0,1000.0,zero
r_4498,6-O-alpha-D-glucopyranosyl-D-fructofuranose exchange,s_4109,C12H22O11,0.0,0.0,1000.0,zero
r_4499,5-dehydro-D-gluconate exchange,s_4118,C6H9O7,0.0,0.0,1000.0,zero
r_4500,D-tagatose exchange,s_4130,C6H12O6,0.0,0.0,1000.0,zero
r_4501,turanose exchange,s_4131,C12H22O11,0.0,0.0,1000.0,zero
r_4502,D-glucose 6-phosphate exchange,s_4150,C6H11O9P,0.0,0.0,1000.0,zero
r_4503,alpha-maltotriose exchange,s_4140,C18H32O16,0.0,0.0,1000.0,zero
r_4504,D-glucose 1-phosphate exchange,s_4145,C6H11O9P,0.0,0.0,1000.0,zero
r_4505,methyl alpha-D-glucopyranoside exchange,s_4125,C7H14O6,0.0,0.0,1000.0,zero
r_4506,D-Glucosamine exchange,s_4164,C6H14NO5,0.0,0.0,1000.0,zero
r_4507,glycerone exchange,s_4167,C3H6O3,0.0,0.0,1000.0,zero
r_4508,Ala-Gln exchange,s_4034,C8H15N3O4,0.0,0.0,1000.0,zero
r_4509,Ala-Leu exchange,s_4168,C9H18N2O3,0.0,0.0,1000.0,zero
r_4510,Gly-Gln exchange,s_4056,C7H13N3O4,0.0,0.0,1000.0,zero
r_4511,Ala-His exchange,s_4050,C9H14N4O3,0.0,0.0,1000.0,zero
r_4512,Gly-Asn exchange,s_4053,C6H11N3O4,0.0,0.0,1000.0,zero
r_4513,Ala-Glu exchange,s_4037,C8H13N2O5,0.0,0.0,1000.0,zero
r_4515,Ala-Asp exchange,s_4119,C7H11N2O5,0.0,0.0,1000.0,zero
r_4516,Gly-Glu exchange,s_4059,C7H11N2O5,0.0,0.0,1000.0,zero
r_4517,Ala-Thr exchange,s_4040,C7H14N2O4,0.0,0.0,1000.0,zero
r_4519,L-citrulline exchange,s_4166,C6H13N3O3,0.0,0.0,1000.0,zero
r_4520,2-aminobutanoate exchange,s_4080,C4H9NO2,0.0,0.0,1000.0,zero
r_4521,choline phosphate exchange,s_4158,C5H13NO4P,0.0,0.0,1000.0,zero
r_4522,glycerol 1-phosphate exchange,s_4049,C3H7O6P,0.0,0.0,1000.0,zero
r_4523,2-phospho-D-glyceric acid exchange,s_4141,C3H4O7P,0.0,0.0,1000.0,zero
r_4524,GMP exchange,s_4148,C10H12N5O8P,0.0,0.0,1000.0,zero
r_4525,3-phospho-serine exchange,s_4147,C3H6NO6P,0.0,0.0,1000.0,zero
r_4526,O-phosphonatooxy-D-serine(2-) exchange,s_4078,C3H6NO6P,0.0,0.0,1000.0,zero
r_4527,diphosphate exchange,s_4157,HO7P2,0.0,0.0,1000.0,zero
r_4528,triphosphate exchange,s_4099,O10P3,0.0,0.0,1000.0,zero
r_4529,phosphoenolpyruvate exchange,s_4152,C3H2O6P,0.0,0.0,1000.0,zero
r_4530,N(omega)-phospho-L-arginine exchange,s_4093,C6H14N4O5P,0.0,0.0,1000.0,zero
r_4531,carbamoyl phosphate exchange,s_4146,CH2NO5P,0.0,0.0,1000.0,zero
r_4532,O-phosphoethanolamine exchange,s_4154,C2H7NO4P,0.0,0.0,1000.0,zero
r_4533,cysteamine S-phosphate exchange,s_4075,C2H7NO3PS,0.0,0.0,1000.0,zero
r_4534,guanosine 2'-monophosphate exchange,s_4067,C10H12N5O8P,0.0,0.0,1000.0,zero
r_4535,glycerol 2-phosphate(2-) exchange,s_4063,C3H7O6P,0.0,0.0,1000.0,zero
r_4536,3'-GMP exchange,s_4069,C10H12N5O8P,0.0,0.0,1000.0,zero
r_4537,2-phosphoglycolate exchange,s_4070,C2H2O6P,0.0,0.0,1000.0,zero
r_4538,6-phospho-D-gluconate exchange,s_4155,C6H10O10P,0.0,0.0,1000.0,zero
r_4539,D-mannose 6-phosphate exchange,s_4153,C6H11O9P,0.0,0.0,1000.0,zero
r_4540,"2',3'-cyclic GMP exchange",s_4095,C10H11N5O7P,0.0,0.0,1000.0,zero
r_4541,O(4)-phospho-L-tyrosine exchange,s_4097,C9H10NO6P,0.0,0.0,1000.0,zero
r_4542,O-phospho-L-threonine exchange,s_4065,C4H8NO6P,0.0,0.0,1000.0,zero
r_4543,3-phosphonato-D-glycerate(3-) exchange,s_4142,C3H4O7P,0.0,0.0,1000.0,zero
r_4544,adenosine 2'-phosphate exchange,s_4162,C10H12N5O7P,0.0,0.0,1000.0,zero
r_4545,3'-AMP exchange,s_4107,C10H12N5O7P,0.0,0.0,1000.0,zero
r_4546,"2',3'-cyclic AMP exchange",s_4161,C10H11N5O6P,0.0,0.0,1000.0,zero
r_4547,D-mannose 1-phosphate exchange,s_4156,C6H11O9P,0.0,0.0,1000.0,zero
r_4548,AMP exchange,s_4160,C10H12N5O7P,0.0,0.0,1000.0,zero
r_4549,N(alpha)-acetyl-L-methionine exchange,s_4135,C7H12NO3S,0.0,0.0,1000.0,zero
r_4551,3-sulfino-L-alanine exchange,s_4105,C3H6NO4S,0.0,0.0,1000.0,zero
r_4552,N-acetyl-L-cysteine exchange,s_4111,C5H8NO3S,0.0,0.0,1000.0,zero
r_4553,L-cysteate exchange,s_4139,C3H6NO5S,0.0,0.0,1000.0,zero
r_4554,2-hydroxyethane-1-sulfonate exchange,s_4116,C2H5O4S,0.0,0.0,1000.0,zero
r_4555,acetoacetate exchange,s_4133,C4H5O3,0.0,0.0,1000.0,zero
r_4556,N-acetyl-L-glutamate exchange,s_4172,C7H9NO5,0.0,0.0,1000.0,zero
r_4557,UMP exchange,s_4151,C9H11N2O9P,0.0,0.0,1000.0,zero
r_4558,CMP exchange,s_4163,C9H12N3O8P,0.0,0.0,1000.0,zero
r_4559,thymidine 5'-monophosphate exchange,s_4047,C10H13N2O8P,0.0,0.0,1000.0,zero
r_4560,thymidine 3'-monophosphate exchange,s_4045,C10H13N2O8P,0.0,0.0,1000.0,zero
r_4561,cytidine 2'-phosphate exchange,s_4101,C9H12N3O8P,0.0,0.0,1000.0,zero
r_4562,uridine 2'-phosphate exchange,s_4082,C9H11N2O9P,0.0,0.0,1000.0,zero
r_4563,3'-UMP exchange,s_4084,C9H11N2O9P,0.0,0.0,1000.0,zero
r_4564,"2',3'-cyclic CMP exchange",s_4127,C9H11N3O7P,0.0,0.0,1000.0,zero
r_4565,"2',3'-cyclic UMP exchange",s_4103,C9H10N2O8P,0.0,0.0,1000.0,zero
r_4593,chloride exchange,s_4200,Cl,0.0,-0.001,0.0,zero
r_4594,Cu2(+) exchange,s_4201,Cu,0.0,-0.001,0.0,zero
r_4595,Mn(2+) exchange,s_4202,Mn,0.0,-0.001,0.0,zero
r_4596,Zn(2+) exchange,s_4203,Zn,0.0,-0.001,0.0,zero
