t_h,mode,ester_rid,ester_label,alcohol_rid,alcohol_name,phi_pair,v_alcohol_baseline,v_alcohol_pairwise,v_ester_baseline,v_ester_pairwise,ratio_baseline,ratio_pairwise,lhs_margin,binding
28.0,BIOMASS,r_1862,isoamyl acetate exchange,r_1865,isoamylol exchange,0.08,0.0001462937878813323,0.0006923318648570197,0.0,5.53865491885614e-05,0.0,0.07999999999999975,0.0,True
28.0,BIOMASS,r_2000,phenethyl acetate exchange,r_1589,2-phenylethanol exchange,0.08,0.01656294879625816,0.0028716701057006798,0.0,0.0002297336084560544,0.0,0.08,0.0,True
29.0,BIOMASS,r_1867,isobutyl acetate exchange,r_1866,isobutanol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
29.0,BIOMASS,r_1862,isoamyl acetate exchange,r_1865,isoamylol exchange,0.08,0.0001377369171909369,0.0005541800690766466,0.0,4.4334405526131595e-05,0.0,0.07999999999999977,0.0,True
29.0,BIOMASS,r_2000,phenethyl acetate exchange,r_1589,2-phenylethanol exchange,0.08,0.01671829495462068,0.0026095743856732307,0.0,0.00020876595085385835,0.0,0.07999999999999996,0.0,True
30.0,BIOMASS,r_1867,isobutyl acetate exchange,r_1866,isobutanol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
30.0,BIOMASS,r_1862,isoamyl acetate exchange,r_1865,isoamylol exchange,0.08,0.00012992954628334377,0.00042812904525876437,0.0,3.425032362070092e-05,0.0,0.07999999999999947,0.0,True
30.0,BIOMASS,r_2000,phenethyl acetate exchange,r_1589,2-phenylethanol exchange,0.08,0.01682790007895725,0.002370435736326992,0.0,0.00018963485890615935,0.0,0.07999999999999999,0.0,True
31.0,BIOMASS,r_1867,isobutyl acetate exchange,r_1866,isobutanol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
31.0,BIOMASS,r_1862,isoamyl acetate exchange,r_1865,isoamylol exchange,0.08,0.00012280198915243684,0.0003130537037250949,0.0,2.504429629800763e-05,0.0,0.08000000000000013,0.0,True
31.0,BIOMASS,r_2000,phenethyl acetate exchange,r_1589,2-phenylethanol exchange,0.08,0.016924654372325282,0.002152119685302793,0.0,0.00017216957482422347,0.0,0.08000000000000002,0.0,True
32.0,BIOMASS,r_1867,isobutyl acetate exchange,r_1866,isobutanol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
32.0,BIOMASS,r_1862,isoamyl acetate exchange,r_1865,isoamylol exchange,0.08,0.00011629168581837918,0.00020794400542333049,0.0,1.663552043386634e-05,0.0,0.07999999999999953,0.0,True
32.0,BIOMASS,r_2000,phenethyl acetate exchange,r_1589,2-phenylethanol exchange,0.08,0.017009737402488546,0.00195271002940586,0.0,0.00015621680235246874,0.0,0.07999999999999997,0.0,True
33.0,BIOMASS,r_1867,isobutyl acetate exchange,r_1866,isobutanol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
33.0,BIOMASS,r_1862,isoamyl acetate exchange,r_1865,isoamylol exchange,0.08,0.0001103423716166343,0.00011189154999158787,0.0,8.951323999327076e-06,0.0,0.08000000000000042,0.0,True
33.0,BIOMASS,r_2000,phenethyl acetate exchange,r_1589,2-phenylethanol exchange,0.08,0.01708421469029221,0.0,0.0,0.0,0.0,,0.0,True
34.0,BIOMASS,r_1867,isobutyl acetate exchange,r_1866,isobutanol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
34.0,BIOMASS,r_1862,isoamyl acetate exchange,r_1865,isoamylol exchange,0.08,2.6004217964889807e-05,2.407797959713285e-05,0.0,1.9262383677707003e-06,0.0,0.080000000000003,0.0,True
34.0,BIOMASS,r_2000,phenethyl acetate exchange,r_1589,2-phenylethanol exchange,0.08,0.017214282147090722,0.001603887213492817,0.0,0.0001283109770794254,0.0,0.08000000000000002,0.0,True
35.0,BIOMASS,r_1867,isobutyl acetate exchange,r_1866,isobutanol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
35.0,BIOMASS,r_1862,isoamyl acetate exchange,r_1865,isoamylol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
35.0,BIOMASS,r_2000,phenethyl acetate exchange,r_1589,2-phenylethanol exchange,0.08,0.01735374707769539,0.0014515206783632182,0.0,0.00011612165426905747,0.0,0.08,0.0,True
36.0,BIOMASS,r_1867,isobutyl acetate exchange,r_1866,isobutanol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
36.0,BIOMASS,r_1862,isoamyl acetate exchange,r_1865,isoamylol exchange,0.08,0.0,8.190424369093869e-05,0.0,6.55233949527297e-06,,0.07999999999997405,0.0,True
36.0,BIOMASS,r_2000,phenethyl acetate exchange,r_1589,2-phenylethanol exchange,0.08,0.017484322529911143,0.0,0.0,0.0,0.0,,0.0,True
37.0,BIOMASS,r_1867,isobutyl acetate exchange,r_1866,isobutanol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
37.0,BIOMASS,r_1862,isoamyl acetate exchange,r_1865,isoamylol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
37.0,BIOMASS,r_2000,phenethyl acetate exchange,r_1589,2-phenylethanol exchange,0.08,0.017600632396067895,0.001184534235422138,0.0,9.476273883377103e-05,0.0,0.07999999999999999,0.0,True
38.0,BIOMASS,r_1867,isobutyl acetate exchange,r_1866,isobutanol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
38.0,BIOMASS,r_1862,isoamyl acetate exchange,r_1865,isoamylol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
38.0,BIOMASS,r_2000,phenethyl acetate exchange,r_1589,2-phenylethanol exchange,0.08,0.01770393336928757,0.0,0.0,0.0,0.0,,0.0,True
39.0,BIOMASS,r_1867,isobutyl acetate exchange,r_1866,isobutanol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
39.0,BIOMASS,r_1862,isoamyl acetate exchange,r_1865,isoamylol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
39.0,BIOMASS,r_2000,phenethyl acetate exchange,r_1589,2-phenylethanol exchange,0.08,0.017795364643783073,0.0,0.0,0.0,0.0,,0.0,True
40.0,BIOMASS,r_1867,isobutyl acetate exchange,r_1866,isobutanol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
40.0,BIOMASS,r_1862,isoamyl acetate exchange,r_1865,isoamylol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
40.0,BIOMASS,r_2000,phenethyl acetate exchange,r_1589,2-phenylethanol exchange,0.08,0.017824621051498582,0.0,0.0,0.0,0.0,,0.0,True
41.0,BIOMASS,r_1867,isobutyl acetate exchange,r_1866,isobutanol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
41.0,BIOMASS,r_1862,isoamyl acetate exchange,r_1865,isoamylol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
41.0,BIOMASS,r_2000,phenethyl acetate exchange,r_1589,2-phenylethanol exchange,0.08,0.018051990442524625,0.0,0.0,0.0,0.0,,0.0,True
42.0,BIOMASS,r_1867,isobutyl acetate exchange,r_1866,isobutanol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
42.0,BIOMASS,r_1862,isoamyl acetate exchange,r_1865,isoamylol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
42.0,BIOMASS,r_2000,phenethyl acetate exchange,r_1589,2-phenylethanol exchange,0.08,0.01818810100634199,0.0,0.0,0.0,0.0,,0.0,True
43.0,BIOMASS,r_1867,isobutyl acetate exchange,r_1866,isobutanol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
43.0,BIOMASS,r_1862,isoamyl acetate exchange,r_1865,isoamylol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
43.0,BIOMASS,r_2000,phenethyl acetate exchange,r_1589,2-phenylethanol exchange,0.08,0.01516742258021493,0.0,0.0,0.0,0.0,,0.0,True
44.0,BIOMASS,r_1867,isobutyl acetate exchange,r_1866,isobutanol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
44.0,BIOMASS,r_1862,isoamyl acetate exchange,r_1865,isoamylol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
44.0,BIOMASS,r_2000,phenethyl acetate exchange,r_1589,2-phenylethanol exchange,0.08,0.015304837218905637,0.0,0.0,0.0,0.0,,0.0,True
45.0,BIOMASS,r_1867,isobutyl acetate exchange,r_1866,isobutanol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
45.0,BIOMASS,r_1862,isoamyl acetate exchange,r_1865,isoamylol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
45.0,BIOMASS,r_2000,phenethyl acetate exchange,r_1589,2-phenylethanol exchange,0.08,0.015442904708824964,0.0,0.0,0.0,0.0,,0.0,True
46.0,BIOMASS,r_1867,isobutyl acetate exchange,r_1866,isobutanol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
46.0,BIOMASS,r_1862,isoamyl acetate exchange,r_1865,isoamylol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
46.0,BIOMASS,r_2000,phenethyl acetate exchange,r_1589,2-phenylethanol exchange,0.08,0.01556642844115037,0.0,0.0,0.0,0.0,,0.0,True
47.0,BIOMASS,r_1867,isobutyl acetate exchange,r_1866,isobutanol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
47.0,BIOMASS,r_1862,isoamyl acetate exchange,r_1865,isoamylol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
47.0,BIOMASS,r_2000,phenethyl acetate exchange,r_1589,2-phenylethanol exchange,0.08,0.015676637892040057,0.0,0.0,0.0,0.0,,0.0,True
48.0,BIOMASS,r_1867,isobutyl acetate exchange,r_1866,isobutanol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
48.0,BIOMASS,r_1862,isoamyl acetate exchange,r_1865,isoamylol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
48.0,BIOMASS,r_2000,phenethyl acetate exchange,r_1589,2-phenylethanol exchange,0.08,0.015774543420028396,0.0,0.0,0.0,0.0,,0.0,True
49.0,BIOMASS,r_1867,isobutyl acetate exchange,r_1866,isobutanol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
49.0,BIOMASS,r_1862,isoamyl acetate exchange,r_1865,isoamylol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
49.0,BIOMASS,r_2000,phenethyl acetate exchange,r_1589,2-phenylethanol exchange,0.08,0.015861397047990455,0.0,0.0,0.0,0.0,,0.0,True
50.0,BIOMASS,r_1867,isobutyl acetate exchange,r_1866,isobutanol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
50.0,BIOMASS,r_1862,isoamyl acetate exchange,r_1865,isoamylol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
50.0,BIOMASS,r_2000,phenethyl acetate exchange,r_1589,2-phenylethanol exchange,0.08,0.0159380207493919,0.0,0.0,0.0,0.0,,0.0,True
51.0,BIOMASS,r_1867,isobutyl acetate exchange,r_1866,isobutanol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
51.0,BIOMASS,r_1862,isoamyl acetate exchange,r_1865,isoamylol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
