state_idx,fe,cp,value
11,0,1,-0.06345757746974015
11,0,2,-0.0543728135932034
11,1,0,-0.055565860333636245
11,1,1,-0.04640018064587398
11,1,2,-0.03975740129935032
11,2,0,-0.040629757075954814
11,2,1,-0.03392781208826305
11,2,2,-0.029070611830084952
11,3,0,-0.02970847837393816
11,3,1,-0.02480801619893794
11,3,2,-0.021256431370158115
11,4,0,-0.021722839387023577
11,4,1,-0.018139621444663415
11,4,2,-0.01554270261785961
11,5,0,-0.01588374015979164
11,5,1,-0.013263691200337888
11,5,2,-0.011364824154178943
11,6,0,-0.011614190804839645
11,6,1,-0.009698411005687062
11,6,2,-0.008309959421535642
11,7,0,-0.008492296316498745
11,7,1,-0.007091478127358379
11,7,2,-0.0060762423290268595
11,8,0,-0.006209567066623881
11,8,1,-0.0051852888067244465
11,8,2,-0.00444294839098444
11,9,0,-0.004540435439115381
11,9,1,-0.0037914831754769143
11,9,2,-0.003248683863487821
11,10,0,-0.0033199663930811663
11,10,1,-0.0027723324979087188
11,10,2,-0.002375437640982295
11,11,0,-0.0024275594266209483
11,11,1,-0.0020271295224708547
11,11,2,-0.0017369200030862536
11,12,0,-0.001775031452745237
11,12,1,-0.001482237106830689
11,12,2,-0.0012700359062566683
11,13,0,-0.001297902998247317
11,13,1,-0.0010838117725145997
11,13,2,0.0
11,14,0,0.0
11,14,1,0.0
11,14,2,0.0
11,15,0,0.0
11,15,1,0.0
11,15,2,0.0
11,16,0,0.0
11,16,1,0.0
11,16,2,0.0
11,17,0,0.0
11,17,1,0.0
11,17,2,0.0
12,0,0,-0.021978266127185946
12,0,1,-0.02094292065036187
12,0,2,-0.021185667802975504
12,1,0,-0.019052536149846214
12,1,1,-0.021972993767846182
12,1,2,-0.02400531335974677
12,2,0,-0.0368306661865309
12,2,1,-0.06124767823820956
12,2,2,-0.05842608321597441
12,3,0,-0.04734352083764339
12,3,1,-0.039534129519246765
12,3,2,-0.03387431321254891
12,4,0,-0.03461758243648482
12,4,1,-0.02890735550447324
12,4,2,-0.024768897821015764
12,5,0,-0.02531237627755769
12,5,1,-0.021137058344870813
12,5,2,-0.01811101808672673
12,6,0,-0.018508409534150203
12,6,1,-0.015455417061769531
12,6,2,-0.013242776425014572
12,7,0,-0.0135333490513706
12,7,1,-0.011301000955565882
12,7,2,-0.009683118121970643
12,8,0,-0.009895584826362182
12,8,1,-0.008263291898709765
12,8,2,-0.007080295970784939
12,9,0,-0.007235651625036025
12,9,1,-0.006042119036336583
12,9,2,-0.005177112413837939
12,10,0,-0.005290708468226342
12,10,1,-0.004417997439369307
12,10,2,-0.003785504596998304
12,11,0,-0.0038685660319670977
12,11,1,-0.003230439727666836
12,11,2,-0.0027679609613251574
12,12,0,-0.0028286954825743433
12,12,1,-0.0023620975288699917
12,12,2,-0.0020239330549209557
12,13,0,-0.0020683421368583596
12,13,1,-0.001727165713109737
12,13,2,0.0
12,14,0,0.0
12,14,1,0.0
12,14,2,0.0
12,15,0,0.0
12,15,1,0.0
12,15,2,0.0
12,16,0,0.0
12,16,1,0.0
12,16,2,0.0
12,17,0,0.0
12,17,1,0.0
12,17,2,0.0
13,0,0,-0.03878502071329138
13,0,1,-0.07739954928321377
13,0,2,-0.075989983895822
13,1,0,-0.056921673940051425
13,1,1,-0.04753235057687235
13,1,2,-0.040727486623571195
13,2,0,-0.04162112798496559
13,2,1,-0.034755654741809056
13,2,2,-0.029779938219155255
13,3,0,-0.030433368782606836
13,3,1,-0.02541333474721078
13,3,2,-0.02177509082584632
13,4,0,-0.022252879253842117
13,4,1,-0.01858223036716052
13,4,2,-0.015921946411858824
13,5,0,-0.01627130531040935
13,5,1,-0.013587326844467769
13,5,2,-0.01164212721635117
13,6,0,-0.011897578442971315
13,6,1,-0.00993505338867483
13,6,2,-0.008512723420595973
13,7,0,-0.008699509357500624
13,7,1,-0.007264511037799035
13,7,2,-0.006224503365139775
13,8,0,-0.0063610812422044555
13,8,1,-0.005311810470838653
13,8,2,-0.004551356860590202
13,9,0,-0.004651222604299897
13,9,1,-0.003883995816277223
13,9,2,-0.0033279521364635556
13,10,0,-0.0034009739682640838
13,10,1,-0.0028399777408619044
13,10,2,-0.002433398602182151
13,11,0,-0.0024867921655946975
13,11,1,-0.0020765917241182237
13,11,2,-0.0017793010579155888
13,12,0,-0.0018183424314828426
13,12,1,-0.001518403868675245
13,12,2,-0.001301024933547878
13,13,0,-0.0013295719859002541
13,13,1,-0.0011102569087753393
13,13,2,0.0
13,14,0,0.0
13,14,1,0.0
13,14,2,0.0
13,15,0,0.0
13,15,1,0.0
13,15,2,0.0
13,16,0,0.0
13,16,1,0.0
13,16,2,0.0
13,17,0,0.0
13,17,1,0.0
13,17,2,0.0
14,0,0,0.00832908707748929
14,0,1,0.006635456463783116
14,0,2,0.005412212165143785
14,1,0,0.0054361053181422375
14,1,1,0.004114902276279115
14,1,2,0.0031659356061947835
14,2,0,0.0031406513397204162
14,2,1,0.002201597937080923
14,2,2,0.0016970204176760297
14,3,0,0.001907903590382667
14,3,1,0.002156249632111941
14,3,2,0.002189656272305626
14,4,0,0.0017192158494122767
14,4,1,0.0018601242385831629
14,4,2,0.0015833407536152509
14,5,0,0.0014599380228256262
14,5,1,0.0013439561090003759
14,5,2,0.0011420375786333665
14,6,0,0.0011172516125320313
14,6,1,0.0009664827867710528
14,6,2,0.0008190475518642397
14,7,0,0.0008183962776808901
14,7,1,0.0006902422481436714
14,7,2,0.0005824875486598534
14,8,0,0.0005882175302361322
14,8,1,0.00048809774302937056
14,8,2,0.00040930439622385606
14,9,0,0.0004158853144777481
14,9,1,0.0003401648363599044
14,9,2,0.0002825284683823705
14,10,0,0.00028832939827300625
14,10,1,0.00023188223862130104
14,10,2,0.00018970775612225753
14,11,0,0.00019437292414689877
14,11,1,0.0001525954850238645
14,11,2,0.00012172284959445848
14,12,0,0.00012531666726037742
14,12,1,9.451207482278797e-05
14,12,2,7.190147410235246e-05
14,13,0,7.460490921536839e-05
14,13,1,5.193287894626384e-05
14,13,2,0.0
14,14,0,0.0
14,14,1,0.0
14,14,2,0.0
14,15,0,0.0
14,15,1,0.0
14,15,2,0.0
14,16,0,0.0
14,16,1,0.0
14,16,2,0.0
14,17,0,0.0
14,17,1,0.0
14,17,2,0.0
15,0,0,0.0
15,0,1,0.0
15,0,2,0.0
15,1,0,0.0
15,1,1,0.0
15,1,2,0.0
15,2,0,0.0
15,2,1,0.0
15,2,2,0.0
15,3,0,0.0
15,3,1,0.0
15,3,2,0.0
15,4,0,0.0
15,4,1,0.0
15,4,2,0.0
15,5,0,0.0
15,5,1,0.0
15,5,2,0.0
15,6,0,0.0
15,6,1,0.0
15,6,2,0.0
15,7,0,0.0
15,7,1,0.0
15,7,2,0.0
15,8,0,0.0
15,8,1,0.0
15,8,2,0.0
15,9,0,0.0
