t_h,X_gDW_L,N_gN_L,N_free_gN_L,G_g_L,F_g_L,E_g_L,O2_g_L,Prot_g_L,Carb_g_L,P_frac_gProt_gDW,C_frac_gCarb_gDW,GAM_mmol_gDW,AA_phe_mmol_L,AA_leu_mmol_L,AA_val_mmol_L,AA_met_mmol_L,AA_tyr_mmol_L,pea_g_L,pea_mg_L,isoamyl_g_L,isoamyl_mg_L,isobutanol_g_L,isobutanol_mg_L,methionol_g_L,methionol_mg_L,tyrosol_g_L,tyrosol_mg_L
41.0,2.0462911465515825,0.0027099578112486002,0.0,103.14528377450185,100.71392510109443,7.536922875835154,0.8,0.907351464982711,0.646652901320855,0.4434126915477219,0.316012167872884,51.66102247940374,0.03274038847865699,0.03274038847865699,0.03274038847865699,0.05917371636622748,0.03607679744736248,0.08905318365346601,89.05318365346601,0.0,0.0,0.015061328426848434,15.061328426848434,0.0,0.0,0.10807598793701897,108.07598793701898
42.0,2.0519448203047626,0.002493161186348712,0.0,103.14363771694309,100.54492812969032,7.6227942862643,0.8,0.8838485273879587,0.6455114961029272,0.43073698602513405,0.31458521190011995,51.41706593950537,0.03012115740036443,0.03012115740036443,0.03012115740036443,0.05443981905692928,0.03319065365157348,0.08926693871624532,89.26693871624532,0.0,0.0,0.015061328426848434,15.061328426848434,0.0,0.0,0.10838321868956147,108.38321868956146
43.0,2.057412608567771,0.0022937082914408153,0.0,103.14204577963066,100.3771770971483,7.708166017988907,0.8,0.8608967997933725,0.6443070202797258,0.41843663065361963,0.31316373662560953,51.18033338599127,0.02771146480833528,0.02771146480833528,0.02771146480833528,0.05008463353237494,0.030535401359447604,0.08945858737770067,89.45858737770067,0.0,0.0,0.015061328426848434,15.061328426848434,0.0,0.0,0.10866155849432965,108.66155849432965
44.0,2.062709801255829,0.00211021162812555,0.0,103.14050351093158,100.21055805957116,7.793089651583837,0.8,0.8384993131251695,0.6430454464729086,0.4065037712113794,0.31174789884714105,50.95067365656359,0.025494547623668457,0.025494547623668457,0.025494547623668457,0.04607786284978495,0.028092569250691795,0.08962989027521306,89.62989027521306,0.0,0.0,0.015061328426848434,15.061328426848434,0.0,0.0,0.10891331184335036,108.91331184335036
45.0,2.0678504657501713,0.001941394697875506,0.0,103.13900681515157,100.044915567554,7.877604146142038,0.8,0.816657207327528,0.6417322651034507,0.3949304946628539,0.3103378487625043,50.72793445699525,0.02345498381377498,0.02345498381377498,0.02345498381377498,0.042391633821802145,0.02584516371063645,0.08978246718278564,89.78246718278564,0.0,0.0,0.015061328426848434,15.061328426848434,0.0,0.0,0.10914059885861696,109.14059885861695
46.0,2.0728475447018018,0.0017860831220454655,0.0,103.13755192405966,99.88012928848796,7.961748813098047,0.8,0.7953699403404447,0.6403725229900367,0.38370884649641035,0.30893372965456567,50.51196269481096,0.02157858510867298,0.02157858510867298,0.02157858510867298,0.039000303116057976,0.023777550613785534,0.08991780828009437,89.91780828009436,0.0,0.0,0.015061328426848434,15.061328426848434,0.0,0.0,0.10934537004167526,109.34537004167525
47.0,2.0777129460109505,0.0016431964722818282,0.0,103.13613537069084,99.71611122698391,8.04556329259896,0.8,0.7746354783398866,0.6389708588594716,0.3728308474118753,0.3075356776720512,50.30260480045534,0.019852298299979143,0.019852298299979143,0.019852298299979143,0.035880278866773335,0.02187534656468269,0.09003728452001473,90.03728452001474,0.0,0.0,0.015061328426848434,15.061328426848434,0.0,0.0,0.10952941984324248,109.52941984324248
48.0,2.082457625608177,0.001511740754499282,0.0,103.13475396524443,99.5527803966118,8.129084069395535,0.8,0.7544504688099416,0.6375315360161481,0.36228850927499956,0.30614382169239024,50.09970703435248,0.018264114435980812,0.018264114435980812,0.018264114435980812,0.033009856557431466,0.020125318839508074,0.09014215716674626,90.14215716674626,0.0,0.0,0.015061328426848434,15.061328426848434,0.0,0.0,0.10969439914725673,109.69439914725673
49.0,2.0870916636129846,0.0013908014941393394,0.0,103.13340477291067,99.39006225913565,8.212344725298788,0.8,0.7348103978886128,0.6360584723978462,0.35207385027669336,0.30475828325467946,49.9031157786604,0.016802985281102346,0.016802985281102346,0.016802985281102346,0.030369068032836948,0.01851529333234743,0.09023358657088694,90.23358657088694,0.0,0.0,0.015061328426848434,15.061328426848434,0.0,0.0,0.10984182675620247,109.84182675620247
50.0,2.0916243343997487,0.0012795373746081922,0.0,103.13208509347113,99.22788820860977,8.295376171440079,0.8,0.715709733311187,0.6345552682269597,0.3421789092526409,0.30337917655230545,49.71267781286633,0.015458746458614158,0.015458746458614158,0.015458746458614158,0.02793954259020999,0.017034069865759636,0.0903126402425018,90.3126402425018,0.0,0.0,0.015061328426848434,15.061328426848434,0.0,0.0,0.10997309995760986,109.97309995760986
51.0,2.0960641710583716,0.0011771743846395366,0.0,103.13079244253112,99.06619509674711,8.378206861950448,0.8,0.6971420541668852,0.6330252314495155,0.33259575913407047,0.3020066084760565,49.52824057266009,0.014222046741925025,0.014222046741925025,0.014222046741925025,0.02570437918299319,0.015671344276498866,0.0903803002783459,90.3803002783459,0.0,0.0,0.015061328426848434,15.061328426848434,0.0,0.0,0.11008950424523427,110.08950424523427
