t_h,mode,objective_id,objective_value_baseline,objective_value_pairwise,delta_objective,mu_h_inv_baseline,mu_h_inv_pairwise,delta_mu,n_constraints_active,n_constraints_binding,N_gN_L,E_g_L,O2_g_L,X_gDW_L,ester_r_1765_baseline,ester_r_1765_pairwise,ester_r_1765_delta,ester_r_1867_baseline,ester_r_1867_pairwise,ester_r_1867_delta,ester_r_1862_baseline,ester_r_1862_pairwise,ester_r_1862_delta,ester_r_2000_baseline,ester_r_2000_pairwise,ester_r_2000_delta,ester_r_4647_baseline,ester_r_4647_pairwise,ester_r_4647_delta,ester_r_4739_baseline,ester_r_4739_pairwise,ester_r_4739_delta,alcohol_r_1866_baseline,alcohol_r_1866_pairwise,alcohol_r_1866_delta,alcohol_r_1865_baseline,alcohol_r_1865_pairwise,alcohol_r_1865_delta,alcohol_r_1589_baseline,alcohol_r_1589_pairwise,alcohol_r_1589_delta,binding_r_1867__r_1866,lhs_r_1867__r_1866,binding_r_1862__r_1865,lhs_r_1862__r_1865,binding_r_2000__r_1589,lhs_r_2000__r_1589
20.0,BIOMASS,r_2111,0.008823612247504211,0.008823612247504628,4.163336342344337e-16,0.008823612247504211,0.008823612247504628,4.163336342344337e-16,3,3,0.015199425105480132,5.510922511752093,0.0,1.8857084588998365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019370859653724176,0.00019370859653724176,0.0,0.0004921523225285303,0.0004921523225285303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002533864849137591,0.002421357456715524,0.002167970971801765,0.014752114661520075,0.006151904031606626,-0.008600210629913448,True,0.0,True,0.0,True,0.0
21.0,BIOMASS,r_2111,0.008185421205673855,0.008185421205673997,1.4224732503009818e-16,0.008185421205673855,0.008185421205673997,1.4224732503009818e-16,3,3,0.013983471097041723,5.632691335658999,0.0,1.902330583533605,0.0,0.0,0.0,0.0,3.34130242300409e-05,3.34130242300409e-05,0.0,0.00013662442608269968,0.00013662442608269968,0.0,0.00044724442915994284,0.00044724442915994284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004176628028755186,0.0004176628028755186,0.00023505963869059268,0.0017078053260337345,0.0014727456873431417,0.02122027194909796,0.005590555364499284,-0.015629716584598677,True,0.0,True,0.0,True,0.0
22.0,BIOMASS,r_2111,0.007607228196244109,0.007607228196244286,1.7694179454963432e-16,0.007607228196244109,0.007607228196244286,1.7694179454963432e-16,3,3,0.012864793409278387,5.750965994359195,0.0,1.9178863921945284,0.0,0.0,0.0,0.0,2.1617995006994515e-05,2.1617995006994515e-05,0.0,0.00012697369631641838,0.00012697369631641838,0.0,0.00040655844594792264,0.00040655844594792264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027022493758741933,0.00027022493758741933,0.00021845574788583182,0.0015871712039552332,0.0013687154560694014,0.015717652255126748,0.005081980574349031,-0.010635671680777718,True,0.0,True,0.0,True,0.0
23.0,BIOMASS,r_2111,0.007082760905810164,0.007082760905810304,1.3964523981613297e-16,0.007082760905810164,0.007082760905810304,1.3964523981613297e-16,3,3,0.011835609936536115,5.866035837504476,0.0,1.9324616018349825,0.0,0.0,0.0,0.0,1.091896040029921e-05,1.091896040029921e-05,0.0,0.00011821971277008093,0.00011821971277008093,0.0,0.00036965300602422334,0.00036965300602422334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013648700500374213,0.00013648700500374213,0.00020339469131992383,0.001477746409626019,0.0012743517183060951,0.015890206319963594,0.004620662575302791,-0.011269543744660803,True,0.0,True,0.0,True,0.0
24.0,BIOMASS,r_2111,0.006606506763664704,0.006606506763663817,-8.873110579621368e-16,0.006606506763664704,0.006606506763663817,-8.873110579621368e-16,3,3,0.010888761141613225,5.978167103929165,0.0,1.9461350781569535,0.0,0.0,0.0,0.0,1.203464998875531e-06,1.203464998875531e-06,0.0,0.00011027046407475886,0.00011027046407475886,0.0,0.0003361402036970194,0.0003361402036970194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.504331248593193e-05,1.504331248593193e-05,0.00018971816524207102,0.0013783808009344995,0.0011886626356924284,0.020337823286802677,0.004201752546212744,-0.016136070740589932,True,0.0,True,0.0,True,0.0
25.0,BIOMASS,r_2111,0.006173604121369658,0.006173604121370027,3.686287386450715e-16,0.006173604121369658,0.006173604121370027,3.686287386450715e-16,3,3,0.010017660250284168,6.087604738145256,0.0,1.9589793755592444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.541713561353018e-05,9.541713561353018e-05,0.0,0.00030567793703248575,0.00030567793703248575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001772865583486418,0.0011927141951691275,0.0010154276368204856,0.020074876811598176,0.0038209742129060695,-0.016253902598692107,True,0.0,True,0.0,True,0.0
26.0,BIOMASS,r_2111,0.005779751663919968,0.005779751663920709,7.407269242420966e-16,0.005779751663919968,0.005779751663920709,7.407269242420966e-16,3,3,0.009216247430261433,6.19457410461159,0.0,1.9710612447427285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.080875269978899e-05,8.080875269978899e-05,0.0,0.0002779635333464459,0.0002779635333464459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016597635035575886,0.0010101094087473627,0.0008441330583916038,0.019832141518557788,0.0034745441668305728,-0.016357597351727215,True,0.0,True,0.0,True,0.0
27.0,BIOMASS,r_2111,0.005421132599549275,0.00542113259955168,2.405194099441843e-15,0.005421132599549275,0.00542113259955168,2.405194099441843e-15,3,3,0.008478947635840518,6.299282554162493,0.0,1.9824420970072096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.750721169539144e-05,6.750721169539144e-05,0.0,0.0002527284146327647,0.0002527284146327647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015567793496815485,0.00084384014619239,0.0006881622112242351,0.01659628653667968,0.0031591051829095566,-0.013437181353770125,True,0.0,True,0.0,True,0.0
28.0,BIOMASS,r_2111,0.005094350864541402,0.0050943508645424195,1.0174153186603974e-15,0.005094350864541402,0.0050943508645424195,1.0174153186603974e-15,3,3,0.007800631824973278,6.401920865122168,0.0,1.99317843140454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.53865491885614e-05,5.53865491885614e-05,0.0,0.0002297336084560544,0.0002297336084560544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001462937878813323,0.0006923318648570197,0.0005460380769756873,0.01656294879625816,0.0028716701057006798,-0.01369127869055748,True,0.0,True,0.0,True,0.0
29.0,BIOMASS,r_2111,0.004796377162235296,0.004796377162234258,-1.0373646386341306e-15,0.004796377162235296,0.004796377162234258,-1.0373646386341306e-15,3,3,0.007176581278975414,6.502664568943061,0.0,2.003322227719488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4334405526131595e-05,4.4334405526131595e-05,0.0,0.00020876595085385835,0.00020876595085385835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001377369171909369,0.0005541800690766466,0.0004164431518857097,0.01671829495462068,0.0026095743856732307,-0.014108720568947448,True,0.0,True,0.0,True,0.0
