t_h,X_gDW_L,Next_gN_L,G_g_L,F_g_L,E_g_L,O2_g_L,Prot_g_L,mu_h-1,v_ATPM,v_Prot,v_r_2111,v_r_4046,v_r_4047,v_r_1761,v_r_1808,v_r_1590,v_r_1863,v_r_1868,v_r_1106,v_r_2057
2.000000000000000000e+01,2.054332104456599417e+00,0.000000000000000000e+00,1.008920297122174219e+02,1.039057256278409795e+02,6.755635653584826983e+00,0.000000000000000000e+00,3.230522224961323907e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,2.697410025765309527e+00,4.292504441983283070e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.232474622831889954e-19
2.100000000000000000e+01,2.050223440247686213e+00,0.000000000000000000e+00,1.007201684309046072e+02,1.033492068551580303e+02,7.010926846587251404e+00,0.000000000000000000e+00,3.191755958261787818e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,2.697873311341556057e+00,4.296040892571029723e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.217684927357941850e-19
2.200000000000000000e+01,2.046122993367190723e+00,0.000000000000000000e+00,1.005485003744726953e+02,1.027938011200204471e+02,7.265751216284003000e+00,0.000000000000000000e+00,3.153454886762646403e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,2.698331037490892648e+00,4.299534905751719038e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.203072708229990127e-19
2.300000000000000000e+01,2.042030747380456202e+00,0.000000000000000000e+00,1.003770272598275284e+02,1.022395061963531333e+02,7.520109084744786898e+00,0.000000000000000000e+00,3.115613428121494444e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,2.698783270926432110e+00,4.302986990774245180e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.188635835730940639e-19
2.400000000000000000e+01,2.037946685885695164e+00,0.000000000000000000e+00,1.002057507710446203e+02,1.016863198625331535e+02,7.774000781942566718e+00,0.000000000000000000e+00,3.078226066984036446e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,2.699230077560748065e+00,4.306397650776502828e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.174372205702262218e-19
2.500000000000000000e+01,2.033870792513923664e+00,0.000000000000000000e+00,1.000346725598457027e+02,1.011342399013808091e+02,8.027426645618302103e+00,0.000000000000000000e+00,3.041287354180227887e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,2.699671522515449951e+00,4.309767382858724627e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.160279739233450448e-19
2.600000000000000000e+01,2.029803050928896013e+00,0.000000000000000000e+00,9.986379424606850819e+01,1.005832641001507710e+02,8.280387021147619819e+00,0.000000000000000000e+00,3.004791905930065177e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,2.700107670130698967e+00,4.313096678155962094e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.146356382362780284e-19
2.700000000000000000e+01,2.025743444827038164e+00,0.000000000000000000e+00,9.969311741812998662e+01,1.000333902505231976e+02,8.532882261409405089e+00,0.000000000000000000e+00,2.968734403058904459e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,2.700538583974561924e+00,4.316386021909638937e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.132600105774907125e-19
2.800000000000000000e+01,2.021691957937384210e+00,0.000000000000000000e+00,9.952264363348299980e+01,9.948461614859488122e+01,8.784912726656276760e+00,0.000000000000000000e+00,2.933109590222197749e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,2.700964326852298036e+00,4.319635893538265603e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.119008904505285678e-19
2.900000000000000000e+01,2.017648574021509322e+00,0.000000000000000000e+00,9.935237441906663491e+01,9.893693959487042378e+01,9.036478784386916985e+00,0.000000000000000000e+00,2.897912275139531424e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,2.701384960815503167e+00,4.322846766707351684e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.105580797650980743e-19
3.000000000000000000e+01,2.013613276873466251e+00,0.000000000000000000e+00,9.918231127175009476e+01,9.839035839425341123e+01,9.287580809220239431e+00,0.000000000000000000e+00,2.863137327837856905e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,2.701800547171147482e+00,4.326019109398405726e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.092313828079195050e-19
3.100000000000000000e+01,2.009586050319719153e+00,0.000000000000000000e+00,9.901245565877049160e+01,9.784487035603763161e+01,9.538219182771365823e+00,0.000000000000000000e+00,2.828779679903802524e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,2.702211146490529625e+00,4.329153383977175640e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.079206062142391601e-19
3.200000000000000000e+01,2.005566878219079641e+00,0.000000000000000000e+00,9.884280901816434550e+01,9.730047329389827837e+01,9.788394293529384171e+00,0.000000000000000000e+00,2.794834323744956883e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,2.702616818618074124e+00,4.332250047260991499e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.066255589396471493e-19
3.300000000000000000e+01,2.001555744462641506e+00,0.000000000000000000e+00,9.867337275919310002e+01,9.675716502588321077e+01,1.003810653673685849e+01,0.000000000000000000e+00,2.761296311860017560e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,2.703017622680087939e+00,4.335309550585403349e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.053460522323837480e-19
3.400000000000000000e+01,1.997552632973716324e+00,0.000000000000000000e+00,9.850414826276266922e+01,9.621494337440417155e+01,1.028735631427108110e+01,0.000000000000000000e+00,2.728160756117697261e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,2.703413617093359811e+00,4.338332339869929166e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.040818996055714106e-19
3.500000000000000000e+01,1.993557527707768839e+00,0.000000000000000000e+00,9.833513688183701618e+01,9.567380616622808986e+01,1.053614403452702497e+01,0.000000000000000000e+00,2.695422827044284819e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,2.703804859573673003e+00,4.341318855683028444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.028329168103329898e-19
3.600000000000000000e+01,1.989570412652353237e+00,0.000000000000000000e+00,9.816633994184594769e+01,9.513375123246835585e+01,1.078447011230198704e+01,0.000000000000000000e+00,2.663077753119753588e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,2.704191407144219905e+00,4.344269533306376885e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.015989218085994236e-19
3.700000000000000000e+01,1.985591271827048532e+00,0.000000000000000000e+00,9.799775874108721041e+01,9.459477640857615199e+01,1.103233496868188546e+01,0.000000000000000000e+00,2.631120820082316403e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,2.704573316143922934e+00,4.347184802798246261e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.003797347469277164e-19
3.800000000000000000e+01,1.981620089283394393e+00,0.000000000000000000e+00,9.782939455112290261e+01,9.405687953433172765e+01,1.127973903092920338e+01,0.000000000000000000e+00,2.599547370241328537e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,2.704950642235626201e+00,4.350065089056209811e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.917517792995853104e-20
3.900000000000000000e+01,1.977656849104827641e+00,0.000000000000000000e+00,9.766124861717030115e+01,9.352005845383578730e+01,1.152668273237253516e+01,0.000000000000000000e+00,2.568352801798432505e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,2.705323440414230785e+00,4.352910811879081576e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.798507579476158618e-20
4.000000000000000000e+01,1.973701535406618079e+00,0.000000000000000000e+00,9.749332215848718874e+01,9.298431101550085032e+01,1.177316651229774003e+01,0.000000000000000000e+00,2.537532568176851466e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,2.705691765014694106e+00,4.355722386028074156e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.680925488527276406e-20
4.100000000000000000e+01,1.969754132335804764e+00,0.000000000000000000e+00,9.732561636875180966e+01,9.244963507204258235e+01,1.201919081584064664e+01,0.000000000000000000e+00,2.507082177358729069e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,2.706055669719948042e+00,4.358500221287286980e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.564754382662378748e-20
4.200000000000000000e+01,1.965814624071133165e+00,0.000000000000000000e+00,9.715813241643743936e+01,9.191602848047122620e+01,1.226475609388132426e+01,0.000000000000000000e+00,2.476997191230424278e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,2.706415207568741099e+00,4.361244722523379136e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.449977330068683360e-20
4.300000000000000000e+01,1.961882994822991000e+00,0.000000000000000000e+00,9.699087144518166781e+01,9.138348910208301845e+01,1.250986280293986219e+01,0.000000000000000000e+00,2.447273224935659020e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,2.706770430963349572e+00,4.363956289744646000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.336577602109318832e-20
4.400000000000000000e+01,1.957959228833344945e+00,0.000000000000000000e+00,9.682383457415053840e+01,9.085201480245157768e+01,1.275451140507366787e+01,0.000000000000000000e+00,2.417905946236431181e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,2.707121391677221212e+00,4.366635318159255430e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.224538670886285371e-20
4.500000000000000000e+01,1.954043310375678244e+00,0.000000000000000000e+00,9.665702289839752837e+01,9.032160345141940638e+01,1.299870236777623944e+01,0.000000000000000000e+00,2.388891074881593912e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,2.707468140862527850e+00,4.369282198232886105e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.113844206834432658e-20
4.600000000000000000e+01,1.950135223754926983e+00,0.000000000000000000e+00,9.649043748921748431e+01,8.979225292308929340e+01,1.324243616387740374e+01,0.000000000000000000e+00,2.360224381983014652e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,2.707810729057607446e+00,4.371897315745635892e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.004478076348918780e-20
4.700000000000000000e+01,1.946234953307417026e+00,0.000000000000000000e+00,9.632407939449561241e+01,8.926396109581584426e+01,1.348571327144499321e+01,0.000000000000000000e+00,2.331901689399218380e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,2.708149206194349290e+00,4.374481051848229662e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.896424339439699601e-20
4.800000000000000000e+01,1.942342483400802289e+00,0.000000000000000000e+00,9.615794963905148052e+01,8.873672585219694042e+01,1.372853417368795448e+01,0.000000000000000000e+00,2.303918869126427627e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,2.708483621605449088e+00,4.377033783117596499e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.789667247366851508e-20
4.900000000000000000e+01,1.938457798434000789e+00,0.000000000000000000e+00,9.599204922497824555e+01,8.821054507906526965e+01,1.397089935886084078e+01,0.000000000000000000e+00,2.276271842696910408e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,2.708814024031618306e+00,4.379555881611733037e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.684191240396013215e-20
5.000000000000000000e+01,1.934580882837132698e+00,0.000000000000000000e+00,9.582637913197709167e+01,8.768541666747987051e+01,1.421280932016970588e+01,0.000000000000000000e+00,2.248956580584547282e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,2.709140461628668728e+00,4.382047714923941184e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.579980945513421546e-20
5.100000000000000000e+01,1.930711721071458387e+00,0.000000000000000000e+00,9.566094031768695061e+01,8.716133851271763433e+01,1.445426455567934454e+01,0.000000000000000000e+00,2.221969101617532694e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,2.709462981974557039e+00,4.384509646236390279e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.477021174161972360e-20
5.200000000000000000e+01,1.926850297629315367e+00,0.000000000000000000e+00,9.549573371800957489e+01,8.663830851426492075e+01,1.469526556822188645e+01,0.000000000000000000e+00,2.195305472398122237e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,0.000000000000000000e+00,2.709781632076295299e+00,4.386942034373105259e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.375296920074073904e-20
