t_h,ethyl_acetate_exchange_baseline_mg_L,ethyl_acetate_exchange_constrained_mg_L,ethyl_acetate_exchange_delta_mg_L,isobutyl_acetate_exchange_baseline_mg_L,isobutyl_acetate_exchange_constrained_mg_L,isobutyl_acetate_exchange_delta_mg_L,isoamyl_acetate_exchange_baseline_mg_L,isoamyl_acetate_exchange_constrained_mg_L,isoamyl_acetate_exchange_delta_mg_L,phenethyl_acetate_exchange_baseline_mg_L,phenethyl_acetate_exchange_constrained_mg_L,phenethyl_acetate_exchange_delta_mg_L,hexyl_acetate_exchange_baseline_mg_L,hexyl_acetate_exchange_constrained_mg_L,hexyl_acetate_exchange_delta_mg_L,benzyl_acetate_exchange_baseline_mg_L,benzyl_acetate_exchange_constrained_mg_L,benzyl_acetate_exchange_delta_mg_L,total_acetate_esters_baseline_mg_L,total_acetate_esters_constrained_mg_L,total_acetate_esters_delta_mg_L
51.0,0.0,565.2700803201278,565.2700803201278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565.2700803201278,565.2700803201278
52.0,0.0,576.2700068589062,576.2700068589062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576.2700068589062,576.2700068589062
53.0,0.0,587.2655826387476,587.2655826387476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.2655826387476,587.2655826387476
54.0,4.347832530196569e-15,678.4947614566172,678.4947614566172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.347832530196569e-15,678.4947614566172,678.4947614566172
55.0,2.0123759739892515e-14,768.96939105661,768.96939105661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0123759739892515e-14,768.96939105661,768.96939105661
56.0,2.0123759739892515e-14,858.7094394883073,858.7094394883073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0123759739892515e-14,858.7094394883073,858.7094394883073
57.0,4.000562135908442e-14,947.7340089097698,947.7340089097698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.000562135908442e-14,947.7340089097698,947.7340089097698
58.0,5.2034035196591275e-14,1036.06138690977,1036.06138690977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2034035196591275e-14,1036.06138690977,1036.06138690977
59.0,6.942536531737756e-14,1123.7090939711004,1123.7090939711004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.942536531737756e-14,1123.7090939711004,1123.7090939711004
60.0,8.246886290796727e-14,1210.693927423895,1210.693927423895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.246886290796727e-14,1210.693927423895,1210.693927423895
61.0,9.551236049855698e-14,1297.0320022011822,1297.0320022011822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.551236049855698e-14,1297.0320022011822,1297.0320022011822
62.0,9.768627676365526e-14,1382.7387886765614,1382.7387886765614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.768627676365526e-14,1382.7387886765614,1382.7387886765614
63.0,9.768627676365526e-14,1467.8291478353642,1467.8291478353642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.768627676365526e-14,1467.8291478353642,1467.8291478353642
64.0,1.0855585808914668e-13,1552.3173640054404,1552.3173640054404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0855585808914668e-13,1552.3173640054404,1552.3173640054404
65.0,1.1507760688444153e-13,1636.2171753513687,1636.2171753513685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1507760688444153e-13,1636.2171753513687,1636.2171753513685
66.0,1.1942543941463809e-13,1719.541802316055,1719.5418023160548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1942543941463809e-13,1719.541802316055,1719.5418023160548
67.0,1.4327943207056226e-13,1802.303974176042,1802.3039741760417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4327943207056226e-13,1802.303974176042,1802.3039741760417
68.0,1.519750971309554e-13,1884.5159538611429,1884.5159538611426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.519750971309554e-13,1884.5159538611429,1884.5159538611426
69.0,1.519750971309554e-13,1966.1895611749899,1966.1895611749896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.519750971309554e-13,1966.1895611749899,1966.1895611749896
70.0,1.519750971309554e-13,2047.3361945405395,2047.3361945405393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.519750971309554e-13,2047.3361945405395,2047.3361945405393
71.0,1.519750971309554e-13,2127.9668513833603,2127.9668513833603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.519750971309554e-13,2127.9668513833603,2127.9668513833603
72.0,1.519750971309554e-13,2208.0921472554523,2208.0921472554523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.519750971309554e-13,2208.0921472554523,2208.0921472554523
