state_idx,fe,cp,value
4,15,1,0.566389440623373
4,15,2,0.5622334615499953
4,16,0,0.5605827291126758
4,16,1,0.5550740314042998
4,16,2,0.5511409881061499
4,17,0,0.5495723723744259
4,17,1,0.5443470948731892
4,17,2,0.5406120029743119
5,0,0,-0.0
5,0,1,-0.0
5,0,2,-0.0
5,1,0,-0.0
5,1,1,-0.0
5,1,2,-0.0
5,2,0,-0.0
5,2,1,-0.0
5,2,2,-0.0
5,3,0,-0.0
5,3,1,-0.0
5,3,2,-0.0
5,4,0,-0.0
5,4,1,-0.0
5,4,2,-0.0
5,5,0,-0.0
5,5,1,-0.0
5,5,2,-0.0
5,6,0,-0.0
5,6,1,-0.0
5,6,2,-0.0
5,7,0,-0.0
5,7,1,-0.0
5,7,2,-0.0
5,8,0,-0.0
5,8,1,-0.0
5,8,2,-0.0
5,9,0,-0.0
5,9,1,-0.0
5,9,2,-0.0
5,10,0,-0.0
5,10,1,-0.0
5,10,2,-0.0
5,11,0,-0.0
5,11,1,-0.0
5,11,2,-0.0
5,12,0,-0.0
5,12,1,-0.0
5,12,2,-0.0
5,13,0,-0.0
5,13,1,-0.0
5,13,2,-0.0
5,14,0,-0.0
5,14,1,-0.0
5,14,2,-0.0
5,15,0,-0.0
5,15,1,-0.0
5,15,2,-0.0
5,16,0,-0.0
5,16,1,-0.0
5,16,2,-0.0
5,17,0,-0.0
5,17,1,-0.0
5,17,2,-0.0
6,0,0,0.064866650168792
6,0,1,0.07319263219898288
6,0,2,0.07892356272049861
6,1,0,0.08549183619931905
6,1,1,0.09551627171879863
6,1,2,0.10210980486456066
6,2,0,0.1085595821286453
6,2,1,0.11223404897539166
6,2,2,0.099404633826266
6,3,0,0.08640384065646162
6,3,1,0.011516267217307731
6,3,2,-0.02682029175141807
6,4,0,0.022396421771704617
6,4,1,-0.02627103850209767
6,4,2,-0.031693326746340865
6,5,0,-0.011558017834027753
6,5,1,-0.027895140279250056
6,5,2,-0.030462186702735622
6,6,0,-0.02235152939568388
6,6,1,-0.027880894467253788
6,6,2,-0.028896446655193656
6,7,0,-0.025205283832266036
6,7,1,-0.02710688617485875
6,7,2,-0.027321257091464345
6,8,0,-0.025396062358998172
6,8,1,-0.025747383113604062
6,8,2,-0.02551747307017366
6,9,0,-0.02438184187901373
6,9,1,-0.02400710211698418
6,9,2,-0.023527586438076842
6,10,0,-0.02277617599214199
6,10,1,-0.022064339184550343
6,10,2,-0.021452508735016886
6,11,0,-0.02091003822690573
6,11,1,-0.020054766872634053
6,11,2,-0.01938490228057293
6,12,0,-0.018972130472285083
6,12,1,-0.018069510024281733
6,12,2,-0.017387881131190053
6,13,0,-0.01706338706444442
6,13,1,-0.01616784494559726
6,13,2,-0.021667311075948163
6,14,0,-0.015111211081823093
6,14,1,-0.020305139956311478
6,14,2,-0.019542860085872034
6,15,0,-0.018717343046679297
6,15,1,-0.017405116031892286
6,15,2,-0.01645408623282392
6,16,0,-0.016280344982001652
6,16,1,-0.01513896992453991
6,16,2,-0.014311764205310246
6,17,0,-0.014160644065345035
6,17,1,-0.013167876040364812
6,17,2,-0.01244837250577885
7,0,0,0.017843661635210024
7,0,1,0.020869271629598805
7,0,2,0.022985207760967862
7,1,0,0.025267276083189114
7,1,1,0.02900059392843466
7,1,2,0.03153609060071667
7,2,0,0.03393651454161216
7,2,1,0.03637610713653311
7,2,2,0.03421801711151148
7,3,0,0.03145014051290718
7,3,1,0.013823594256808876
7,3,2,0.005087888760322842
7,4,0,0.015839706135491658
7,4,1,0.004045413549607017
7,4,2,0.0030621014722004678
7,5,0,0.006574973856490718
7,5,1,0.002377449248241731
7,5,2,0.0016854092647597008
7,6,0,0.0028966716884225806
7,6,1,0.0011736578676266739
7,6,2,0.000683201612791937
7,7,0,0.0011912951448292556
7,7,1,0.00030098077356794945
7,7,2,-4.911284377377657e-05
7,8,0,0.00018829832302965678
7,8,1,-0.00032639667972000127
7,8,2,-0.0005762821891391254
7,9,0,-0.0004552823989014045
7,9,1,-0.0007731303986359831
7,9,2,-0.0009506488144119594
7,10,0,-0.0008813776136523022
7,10,1,-0.0010874390786732415
7,10,2,-0.001212452263413376
7,11,0,-0.0011676486347262389
7,11,1,-0.0013049908658509
7,11,2,-0.0013918534560664708
7,12,0,-0.00136077015212876
7,12,1,-0.0014519311108423167
7,12,2,-0.0015110405576864267
7,13,0,-0.0014883168897920304
7,13,1,-0.001547431857818029
7,13,2,-0.0031484580671241186
7,14,0,-0.0015558601715530667
7,14,1,-0.0031236585327067278
7,14,2,-0.0031127721571081214
7,15,0,-0.0030831963067765424
7,15,1,-0.0030528933056346076
7,15,2,-0.003030931360969217
7,16,0,-0.0030221490199023667
7,16,1,-0.0029924460181830425
7,16,2,-0.002970918920022027
7,17,0,-0.0029623104693083002
7,17,1,-0.0029331955870230183
7,17,2,-0.0029120947254055907
8,0,0,0.0012891389778815526
8,0,1,0.0018741025747862027
8,0,2,0.002298051945698852
8,1,0,0.00270602687251613
8,1,1,0.003479095941283965
8,1,2,0.00403937382701739
8,2,0,0.004549937570055703
8,2,1,0.005539053542518018
8,2,2,0.006255910701545686
8,3,0,0.006625840318120187
8,3,1,0.00753575778929711
8,3,2,0.008195219253725907
8,4,0,0.0071457059492396335
8,4,1,0.007547974725813652
8,4,2,0.00783952749350474
8,5,0,0.006861327100266513
8,5,1,0.006884057747648763
8,5,2,0.006900555088752492
8,6,0,0.006383804292176475
8,6,1,0.006234264152006912
8,6,2,0.006125940311424278
8,7,0,0.005867084855969094
8,7,1,0.005656922783040897
8,7,2,0.005504747867978356
8,8,0,0.005354576418086045
8,8,1,0.005127645802988845
8,8,2,0.00496339727571021
8,9,0,0.004864065314992014
8,9,1,0.004639648227805499
8,9,2,0.0044770958911967825
8,10,0,0.004405098534979275
8,10,1,0.004192117584354642
8,10,2,0.004037771896906864
8,11,0,0.003982591051126961
8,11,1,0.003785286773512175
8,11,2,0.003642292426012582
8,12,0,0.003598257468220231
8,12,1,0.0034182343700700406
8,12,2,0.003287763624567177
8,13,0,0.0032517980279064417
8,13,1,0.0030892922042070232
8,13,2,0.0029715169475586015
8,14,0,0.0029289504872149776
8,14,1,0.0027847049082937655
8,14,2,0.002680163668919593
8,15,0,0.002566949903544589
8,15,1,0.0023869873415166554
8,15,2,0.002256560397644423
8,16,0,0.0022327330261030834
8,16,1,0.0020762015896511874
8,16,2,0.0019627562338711186
8,17,0,0.0019420311861044607
8,17,1,0.0018058801426786028
8,17,2,0.0017072053722210982
9,0,0,-0.07556200614890766
9,0,1,-0.06537705017254766
9,0,2,-0.057740811208378096
9,1,0,-0.05520218697157991
9,1,1,-0.04609649580064373
9,1,2,-0.039497192824032155
9,2,0,-0.04036383911361923
9,2,1,-0.03370575772943069
9,2,2,-0.02888034739293231
9,3,0,-0.02951403915987838
9,3,1,-0.02464565005175972
9,3,2,-0.0211173100137121
