rxn_id,rxn_name,flux,lower_bound,upper_bound,active_bound,reduced_cost,abs_reduced_cost
r_1952,"N,N'-diformyldityrosine exchange",0.0,0.0,1000.0,LB,0.0,0.0
r_1967,nicotinate exchange,0.0,-0.01,0.0,UB,0.0,0.0
r_1999,pectin exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_2056,succinate exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_2000,phenethyl acetate exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_2001,phenylacetaldehyde exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_2024,putrescine exchange,6.976922558839752e-34,0.0,1000.0,LB,0.0,0.0
r_1545,(R)-carnitine exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_2051,spermidine exchange,0.0,0.0,1000.0,LB,0.0,0.0
r_2052,spermine exchange,-6.976922558839752e-34,0.0,1000.0,LB,0.0,0.0
r_4780,heme a exchange,0.0,0.0,1000.0,LB,0.0,0.0
